MinionsKilled,DmgDealt,DmgTaken,TurretDmgDealt,TotalGold,Win,item1,item2,item3,item4,item5,item6,kills,deaths,assists,PrimaryKeyStone,PrimarySlot1,PrimarySlot2,PrimarySlot3,SecondarySlot1,SecondarySlot2,SummonerSpell1,SummonerSpell2,CurrentMasteryPoints,DragonKills,BaronKills,visionScore,SummonerMatchId,ChampionFk,SummonerFk,GameDuration,KDA,GameDurationMin,GoldPerMin,CSPerMin,DmgPerMin,VisionPerMin,DmgPerGold,DmgEfficiency,ItemCount,ObjectiveParticipation,ChampionId,Lane,Role,GamePhase
204,30252,48496,7086,12625,0,1055,3074,3031,3006,3046,6690,6,11,5,8437,8446,8444,8453,9104,8299,4,6,0,0,0,17,0,23,0,1983,1.0,33.05,381.9969742813919,6.172465960665659,915.3403933434191,0.5143721633888049,2.39619801980198,0.6238040250742329,6,0,23,0,2,1
36,38134,53232,2301,14476,0,1028,3161,6333,3071,6692,3047,12,11,8,8010,9111,9105,8299,8347,8304,11,4,0,0,0,10,0,141,0,1983,1.8181818181818181,33.05,438.0030257186082,1.0892586989409985,1153.8275340393345,0.30257186081694404,2.6342912406742194,0.7163736098587316,6,0,141,1,1,1
133,6474,30033,191,8056,0,1054,3006,6672,1018,1037,1038,1,11,3,8008,9101,9104,8299,8451,8444,12,4,0,1,0,12,0,777,0,1983,0.36363636363636365,33.05,243.75189107413013,4.024205748865356,195.88502269288958,0.3630862329803329,0.8036246276067527,0.2155628808310858,6,1,777,0,2,1
156,34142,27691,4592,12414,0,3040,6655,3020,1058,3157,0,5,10,10,8229,8226,8210,8237,8014,8009,12,4,0,0,0,11,0,115,0,1983,1.5,33.05,375.61270801815436,4.720121028744328,1033.0408472012105,0.33282904689863846,2.7502819397454488,1.2329637788451122,5,0,115,3,3,1
42,11071,23975,775,8353,0,3876,3190,3047,3075,1011,1029,3,4,6,8439,8463,8473,8242,8347,8306,4,14,0,0,0,56,0,12,0,1983,2.25,33.05,252.73827534039336,1.270801815431165,334.97730711043874,1.6944024205748867,1.3253920747036994,0.46177267987486964,6,0,12,3,4,1
116,34755,45267,1076,12323,1,6631,3174,3153,1055,2021,1028,10,7,8,8010,9111,9104,8299,8444,8242,12,4,0,2,0,16,0,875,0,1983,2.5714285714285716,33.05,372.8593040847202,3.5098335854765508,1051.588502269289,0.4841149773071105,2.8203359571532904,0.767777851414938,6,2,875,2,4,1
32,24541,41873,5874,12776,1,3075,3171,6662,1029,6657,0,4,6,15,8005,9111,9105,8299,8234,8232,4,11,0,1,1,19,0,106,0,1983,3.1666666666666665,33.05,386.56580937972774,0.968229954614221,742.5416036308624,0.5748865355521937,1.9208672510958047,0.5860817233061878,5,2,106,1,1,1
219,49833,24833,12398,17654,1,6699,3171,3142,6694,3814,6692,16,3,8,8112,8139,8140,8106,8237,8210,4,14,0,0,0,22,0,238,0,1983,8.0,33.05,534.160363086233,6.626323751891075,1507.8063540090773,0.6656580937972769,2.822759714512292,2.006724922482181,6,0,238,2,3,1
120,15945,17497,2097,11403,1,3031,6676,3172,3094,0,0,6,4,13,8021,8009,9103,8014,8233,8236,4,21,0,0,0,14,0,51,0,1983,4.75,33.05,345.0226928895613,3.6308623298033287,482.4508320726173,0.42360060514372166,1.3983162325703762,0.9112990798422587,4,0,51,3,3,1
22,22998,23677,2265,12422,1,3142,3869,3179,6699,3013,0,11,7,15,9923,8126,8137,8106,8473,8242,4,14,0,0,0,72,0,555,0,1983,3.7142857142857144,33.05,375.8547655068079,0.6656580937972769,695.8547655068079,2.178517397881997,1.8513926903880213,0.9713223803691347,5,0,555,3,4,1
